# year,month,day,hour,Kod,Pgr,Sas,Rkn,Pyk,Han
2009,1,10,0,-10.00,-999.00,6.00,70.00,27.00,32.00
2009,1,10,1,-10.00,-999.00,-20.00,79.00,15.00,52.00
2009,1,10,2,1.00,-999.00,-54.00,-24.00,3.00,24.00
2009,1,10,3,-22.00,-999.00,-26.00,-999.00,21.00,-15.00
2009,1,10,4,-19.00,-999.00,-2.00,-999.00,27.00,6.00
2009,1,10,5,-18.00,-999.00,2.00,-999.00,-0.00,15.00
2009,1,10,6,-24.00,-999.00,3.00,-999.00,2.00,53.00
2009,1,10,7,-0.00,-999.00,-43.00,41.00,42.00,82.00
2009,1,10,8,19.00,-999.00,-69.00,31.00,33.00,64.00
2009,1,10,9,30.00,-999.00,-14.00,36.00,37.00,49.00
2009,1,10,10,12.00,-999.00,17.00,26.00,30.00,61.00
2009,1,10,11,-18.00,-999.00,-18.00,16.00,32.00,70.00
2009,1,10,12,-40.00,-999.00,-34.00,18.00,17.00,20.00
2009,1,10,13,-18.00,-999.00,-21.00,-6.00,20.00,25.00
2009,1,10,14,-5.00,-999.00,-0.00,-999.00,14.00,27.00
2009,1,10,15,-19.00,-999.00,9.00,8.00,21.00,21.00
2009,1,10,16,1.00,-999.00,-28.00,37.00,26.00,43.00
2009,1,10,17,40.00,-999.00,-999.00,-7.00,25.00,29.00
2009,1,10,18,52.00,-999.00,-999.00,48.00,14.00,10.00
2009,1,10,19,48.00,-999.00,-999.00,-50.00,5.00,-3.00
2009,1,10,20,25.00,-999.00,-999.00,-85.00,-7.00,28.00
2009,1,10,21,30.00,-26.00,-999.00,-999.00,-16.00,25.00
2009,1,10,22,11.00,-9.00,-999.00,34.00,-3.00,-4.00
2009,1,10,23,5.00,3.00,-999.00,2.00,15.00,-15.00
2009,1,11,0,14.00,1.00,14.00,-80.00,19.00,-16.00
2009,1,11,1,30.00,5.00,9.00,87.00,27.00,-11.00
2009,1,11,2,38.00,-16.00,-8.00,4.00,7.00,6.00
2009,1,11,3,4.00,-9.00,-5.00,-79.00,13.00,-2.00
2009,1,11,4,19.00,25.00,-14.00,1.00,4.00,14.00
2009,1,11,5,26.00,39.00,-37.00,14.00,-1.00,43.00
2009,1,11,6,33.00,1.00,-42.00,20.00,-8.00,40.00
2009,1,11,7,35.00,-5.00,-17.00,25.00,1.00,12.00
2009,1,11,8,27.00,-20.00,-10.00,12.00,9.00,3.00
2009,1,11,9,32.00,-35.00,-19.00,-13.00,19.00,-12.00
2009,1,11,10,22.00,-37.00,-40.00,-27.00,16.00,-2.00
2009,1,11,11,6.00,-7.00,-26.00,-7.00,-5.00,-13.00
2009,1,11,12,-13.00,20.00,-7.00,-13.00,-12.00,12.00
2009,1,11,13,6.00,-30.00,7.00,-8.00,-31.00,36.00
2009,1,11,14,0.00,-17.00,53.00,35.00,-31.00,30.00
2009,1,11,15,5.00,18.00,81.00,52.00,-10.00,34.00
2009,1,11,16,-5.00,51.00,100.00,20.00,1.00,32.00
2009,1,11,17,22.00,29.00,31.00,-18.00,8.00,38.00
2009,1,11,18,40.00,32.00,28.00,37.00,14.00,58.00
2009,1,11,19,22.00,18.00,15.00,16.00,8.00,36.00
2009,1,11,20,-3.00,24.00,-19.00,-10.00,13.00,42.00
2009,1,11,21,10.00,17.00,7.00,4.00,13.00,24.00
2009,1,11,22,8.00,43.00,43.00,-18.00,14.00,2.00
2009,1,11,23,-4.00,56.00,32.00,-1.00,6.00,9.00
2009,1,12,0,4.00,35.00,26.00,-4.00,-2.00,-2.00
2009,1,12,1,11.00,4.00,45.00,-2.00,4.00,17.00
2009,1,12,2,45.00,9.00,17.00,-8.00,1.00,-0.00
2009,1,12,3,2.00,42.00,-999.00,14.00,-3.00,29.00
2009,1,12,4,51.00,16.00,-999.00,-0.00,6.00,31.00
2009,1,12,5,44.00,18.00,-999.00,6.00,9.00,49.00
2009,1,12,6,52.00,4.00,-999.00,-999.00,6.00,41.00
2009,1,12,7,39.00,-21.00,-999.00,47.00,2.00,50.00
2009,1,12,8,20.00,3.00,-999.00,25.00,9.00,45.00
2009,1,12,9,24.00,-37.00,-999.00,-4.00,53.00,50.00
2009,1,12,10,8.00,2.00,-999.00,3.00,54.00,32.00
2009,1,12,11,-2.00,20.00,-999.00,7.00,57.00,43.00
2009,1,12,12,5.00,20.00,17.00,24.00,38.00,40.00
2009,1,12,13,15.00,-3.00,3.00,46.00,12.00,60.00
2009,1,12,14,25.00,-4.00,12.00,62.00,-2.00,55.00
2009,1,12,15,2.00,43.00,25.00,27.00,-3.00,41.00
2009,1,12,16,2.00,40.00,36.00,17.00,1.00,42.00
2009,1,12,17,13.00,36.00,17.00,-23.00,9.00,30.00
2009,1,12,18,47.00,26.00,26.00,-15.00,1.00,59.00
2009,1,12,19,51.00,37.00,31.00,-27.00,-1.00,61.00
2009,1,12,20,45.00,28.00,-40.00,-24.00,-9.00,44.00
2009,1,12,21,31.00,26.00,21.00,11.00,9.00,39.00
2009,1,12,22,18.00,45.00,30.00,30.00,14.00,16.00
2009,1,12,23,-4.00,-18.00,4.00,-999.00,-3.00,27.00
2009,1,13,0,14.00,12.00,7.00,3.00,15.00,12.00
2009,1,13,1,20.00,-6.00,5.00,-999.00,5.00,15.00
2009,1,13,2,9.00,-27.00,-14.00,48.00,13.00,22.00
2009,1,13,3,3.00,-0.00,-15.00,89.00,12.00,-2.00
2009,1,13,4,1.00,54.00,16.00,-42.00,2.00,-9.00
2009,1,13,5,20.00,67.00,37.00,0.00,-2.00,27.00
2009,1,13,6,58.00,47.00,37.00,77.00,4.00,53.00
2009,1,13,7,44.00,13.00,26.00,60.00,16.00,43.00
2009,1,13,8,54.00,34.00,2.00,37.00,32.00,33.00
2009,1,13,9,30.00,8.00,-7.00,-4.00,42.00,20.00
2009,1,13,10,2.00,-6.00,9.00,3.00,45.00,12.00
2009,1,13,11,-6.00,-30.00,3.00,-3.00,33.00,-18.00
2009,1,13,12,0.00,2.00,11.00,19.00,30.00,-17.00
2009,1,13,13,9.00,25.00,-1.00,44.00,-4.00,13.00
2009,1,13,14,20.00,2.00,12.00,-999.00,-24.00,4.00
2009,1,13,15,8.00,26.00,2.00,24.00,3.00,0.00
2009,1,13,16,24.00,46.00,1.00,65.00,3.00,9.00
2009,1,13,17,54.00,48.00,6.00,-38.00,11.00,20.00
2009,1,13,18,62.00,22.00,-4.00,74.00,8.00,38.00
2009,1,13,19,37.00,5.00,-13.00,7.00,-3.00,34.00
2009,1,13,20,35.00,-15.00,-28.00,17.00,-38.00,49.00
2009,1,13,21,22.00,5.00,-66.00,-999.00,26.00,15.00
2009,1,13,22,22.00,-41.00,23.00,-80.00,10.00,1.00
2009,1,13,23,18.00,-999.00,38.00,8.00,29.00,-20.00
2009,1,14,0,17.00,0.00,-7.00,23.00,30.00,-5.00
2009,1,14,1,19.00,-1.00,-40.00,-999.00,26.00,21.00
2009,1,14,2,5.00,0.00,-67.00,73.00,27.00,21.00
2009,1,14,3,3.00,-3.00,-4.00,49.00,41.00,12.00
2009,1,14,4,1.00,6.00,23.00,37.00,22.00,15.00
2009,1,14,5,14.00,8.00,42.00,29.00,7.00,34.00
2009,1,14,6,28.00,25.00,28.00,41.00,2.00,35.00
2009,1,14,7,16.00,34.00,-2.00,-89.00,4.00,33.00
2009,1,14,8,35.00,32.00,-62.00,21.00,27.00,34.00
2009,1,14,9,39.00,25.00,-24.00,-7.00,53.00,19.00
2009,1,14,10,36.00,-19.00,33.00,-4.00,53.00,-8.00
2009,1,14,11,22.00,-16.00,73.00,0.00,28.00,-11.00
2009,1,14,12,24.00,7.00,30.00,34.00,11.00,-18.00
2009,1,14,13,23.00,17.00,47.00,-999.00,-4.00,38.00
2009,1,14,14,15.00,15.00,26.00,71.00,9.00,51.00
2009,1,14,15,25.00,43.00,56.00,1.00,-0.00,7.00
2009,1,14,16,16.00,50.00,43.00,48.00,11.00,-2.00
2009,1,14,17,21.00,43.00,36.00,14.00,-2.00,39.00
2009,1,14,18,18.00,18.00,10.00,-10.00,9.00,40.00
2009,1,14,19,14.00,22.00,26.00,33.00,-4.00,27.00
2009,1,14,20,13.00,20.00,59.00,1.00,-18.00,28.00
2009,1,14,21,5.00,-7.00,59.00,36.00,-8.00,25.00
2009,1,14,22,18.00,-45.00,-43.00,-28.00,-3.00,5.00
2009,1,14,23,14.00,-62.00,-999.00,-999.00,3.00,-16.00
2009,1,15,0,36.00,46.00,-29.00,-9.00,-15.00,-28.00
2009,1,15,1,34.00,15.00,2.00,31.00,-18.00,-19.00
2009,1,15,2,21.00,-0.00,5.00,-38.00,-32.00,-22.00
2009,1,15,3,-22.00,-29.00,25.00,-999.00,-9.00,1.00
2009,1,15,4,-17.00,16.00,49.00,-79.00,-10.00,28.00
2009,1,15,5,5.00,27.00,66.00,-2.00,-16.00,35.00
2009,1,15,6,-25.00,19.00,-7.00,39.00,-31.00,43.00
2009,1,15,7,-2.00,-16.00,11.00,20.00,-0.00,31.00
2009,1,15,8,10.00,-16.00,-22.00,-2.00,18.00,10.00
2009,1,15,9,4.00,-11.00,8.00,2.00,32.00,-13.00
2009,1,15,10,11.00,5.00,-5.00,-11.00,18.00,-23.00
2009,1,15,11,-5.00,-25.00,22.00,-11.00,6.00,-19.00
2009,1,15,12,-12.00,-22.00,30.00,13.00,-3.00,-16.00
2009,1,15,13,-6.00,-32.00,51.00,38.00,-11.00,20.00
2009,1,15,14,7.00,-26.00,43.00,90.00,-23.00,29.00
