# year,month,day,hour,Kod,Pgr,Sas,Rkn,Pyk,Han
2009,1,12,0,16.18,11.30,2.00,11.34,10.67,24.66
2009,1,12,1,16.46,11.26,1.86,10.79,10.70,24.27
2009,1,12,2,16.76,11.19,1.64,9.92,10.81,23.95
2009,1,12,3,16.80,11.09,1.49,11.15,11.06,23.92
2009,1,12,4,17.06,10.88,1.76,11.64,11.27,24.20
2009,1,12,5,17.27,10.72,2.09,11.88,11.22,24.29
2009,1,12,6,17.60,10.57,2.64,11.94,11.29,24.49
2009,1,12,7,18.15,10.65,3.00,12.08,11.29,24.30
2009,1,12,8,18.31,10.91,3.59,10.63,10.90,23.79
2009,1,12,9,18.48,11.26,3.69,10.52,10.83,23.48
2009,1,12,10,18.57,11.62,3.55,10.09,11.00,23.17
2009,1,12,11,18.82,11.53,3.76,9.78,11.24,22.45
2009,1,12,12,19.24,11.49,4.90,9.62,11.20,21.60
2009,1,12,13,19.91,11.65,5.64,9.80,11.14,21.21
2009,1,12,14,20.33,11.78,6.37,10.15,10.89,21.34
2009,1,12,15,20.54,11.73,6.63,10.63,10.83,21.59
2009,1,12,16,21.00,11.91,7.12,10.55,10.61,21.45
2009,1,12,17,21.16,12.10,7.90,10.66,10.46,20.98
2009,1,12,18,20.96,12.21,8.07,10.88,10.18,21.08
2009,1,12,19,20.60,12.08,8.08,10.30,10.12,21.40
2009,1,12,20,20.25,12.08,8.39,11.18,10.03,21.71
2009,1,12,21,20.13,12.13,9.08,12.18,9.92,21.71
2009,1,12,22,19.86,12.33,9.67,12.64,10.00,21.71
2009,1,12,23,19.94,11.93,9.03,11.86,10.00,21.80
2009,1,13,0,20.03,11.20,9.03,11.84,9.88,21.79
2009,1,13,1,20.26,11.70,8.56,12.82,9.52,21.67
2009,1,13,2,20.30,11.81,8.48,12.10,9.05,21.58
2009,1,13,3,20.13,11.98,8.63,11.61,8.65,21.29
2009,1,13,4,19.85,11.77,9.00,12.71,8.42,21.32
2009,1,13,5,19.48,11.68,9.82,11.78,8.27,21.47
2009,1,13,6,19.26,11.56,11.24,11.60,8.11,21.39
2009,1,13,7,18.66,11.75,11.73,11.81,7.88,21.42
2009,1,13,8,18.27,11.63,12.14,11.75,7.86,21.61
2009,1,13,9,18.09,11.67,11.97,11.61,7.96,21.69
2009,1,13,10,17.80,11.92,12.34,11.76,8.09,21.68
2009,1,13,11,17.69,12.36,12.80,11.93,8.11,21.46
2009,1,13,12,17.57,12.17,13.40,11.88,8.23,21.40
2009,1,13,13,17.58,11.74,13.82,12.18,8.32,21.10
2009,1,13,14,17.46,11.72,14.30,12.74,8.53,20.94
2009,1,13,15,17.53,11.62,14.20,13.41,8.61,20.93
2009,1,13,16,17.49,11.49,13.67,13.42,8.52,20.25
2009,1,13,17,17.58,11.11,13.02,13.67,8.32,19.71
2009,1,13,18,17.48,10.97,13.09,13.90,8.05,19.33
2009,1,13,19,17.18,10.74,13.09,13.92,7.54,18.96
2009,1,13,20,16.90,10.60,12.98,13.99,7.42,19.01
2009,1,13,21,16.81,10.06,13.01,14.06,7.47,18.84
2009,1,13,22,16.56,9.75,12.88,12.99,8.10,18.73
2009,1,13,23,16.27,8.93,11.84,13.18,8.19,18.44
2009,1,14,0,16.06,7.33,11.37,13.21,8.57,18.05
2009,1,14,1,15.59,6.68,11.22,13.98,8.61,17.70
2009,1,14,2,15.09,5.75,10.69,13.74,8.27,17.20
2009,1,14,3,14.36,5.50,10.36,13.03,7.94,17.18
2009,1,14,4,13.91,4.86,9.97,13.03,7.78,17.03
2009,1,14,5,13.11,4.99,10.11,13.68,7.67,16.74
2009,1,14,6,12.39,5.01,10.23,14.27,7.64,16.39
2009,1,14,7,11.59,4.96,10.29,13.60,7.51,16.47
2009,1,14,8,11.47,5.06,9.99,12.45,7.51,16.29
2009,1,14,9,11.20,4.76,9.48,11.82,7.46,15.85
2009,1,14,10,10.69,4.85,9.08,11.40,7.12,15.25
2009,1,14,11,10.20,4.54,8.89,11.27,6.67,14.74
2009,1,14,12,9.80,4.16,8.63,11.25,6.00,14.17
2009,1,14,13,9.49,3.93,8.54,11.02,5.49,13.70
2009,1,14,14,9.12,4.02,8.88,11.23,5.13,13.27
2009,1,14,15,8.68,4.36,9.31,10.89,5.03,12.71
2009,1,14,16,8.64,4.23,9.64,10.18,4.92,12.22
2009,1,14,17,8.72,4.27,9.74,9.99,4.93,11.53
2009,1,14,18,8.67,3.99,9.88,10.51,4.90,11.21
2009,1,14,19,8.32,3.50,9.78,10.77,4.73,10.76
2009,1,14,20,7.85,3.13,9.62,10.16,4.63,10.34
2009,1,14,21,7.33,2.56,10.00,10.87,4.65,10.04
2009,1,14,22,6.95,1.76,9.76,10.64,4.51,9.72
2009,1,14,23,6.59,1.28,9.38,8.67,4.44,9.32
2009,1,15,0,6.47,1.31,9.29,8.66,4.49,8.81
2009,1,15,1,6.32,1.45,8.98,8.18,4.33,8.33
2009,1,15,2,6.24,1.67,8.98,7.93,4.06,7.91
2009,1,15,3,6.10,2.05,9.23,7.51,3.80,7.46
2009,1,15,4,5.84,1.97,9.45,6.74,3.53,7.01
2009,1,15,5,5.70,1.50,9.45,7.30,3.44,6.90
2009,1,15,6,5.44,0.96,9.24,7.37,3.42,6.68
2009,1,15,7,4.83,0.56,8.98,6.61,3.43,6.36
2009,1,15,8,4.10,0.25,8.54,5.46,3.25,6.10
2009,1,15,9,3.40,-0.22,8.18,5.00,2.91,5.82
2009,1,15,10,2.95,-0.48,8.08,5.15,2.35,5.56
2009,1,15,11,2.68,-0.62,7.90,5.21,1.92,5.68
2009,1,15,12,2.51,-0.38,7.94,5.22,1.70,5.72
2009,1,15,13,2.46,-0.48,7.77,5.08,1.21,6.00
2009,1,15,14,2.30,-0.78,7.77,5.02,1.11,5.84
2009,1,15,15,1.96,-0.69,7.66,5.10,1.32,5.66
2009,1,15,16,1.93,-1.14,7.99,4.88,1.29,5.46
2009,1,15,17,1.78,-1.72,7.98,4.39,1.17,5.41
2009,1,15,18,1.24,-2.39,7.96,4.97,0.89,5.27
2009,1,15,19,0.60,-3.04,7.96,4.07,0.50,4.97
2009,1,15,20,0.11,-3.32,8.20,4.18,0.96,4.81
2009,1,15,21,-0.56,-3.75,7.96,4.73,1.35,4.30
2009,1,15,22,-1.07,-4.24,8.61,5.44,1.03,3.83
2009,1,15,23,-1.63,-4.59,7.51,6.42,0.86,3.56
2009,1,16,0,-1.76,-3.81,7.58,5.81,0.47,3.50
2009,1,16,1,-2.06,-4.74,7.44,5.26,0.17,3.28
2009,1,16,2,-2.60,-4.73,7.31,5.30,-0.18,2.88
2009,1,16,3,-2.74,-4.66,8.02,3.56,-0.66,2.55
2009,1,16,4,-2.95,-4.30,8.45,2.38,-1.45,2.26
2009,1,16,5,-3.03,-3.96,8.16,2.10,-1.83,2.01
2009,1,16,6,-3.24,-4.13,7.70,1.45,-2.07,1.74
2009,1,16,7,-3.70,-4.55,7.47,0.33,-2.27,1.30
2009,1,16,8,-3.99,-5.41,7.38,0.96,-2.35,0.84
2009,1,16,9,-4.34,-6.12,7.93,0.82,-2.60,0.33
2009,1,16,10,-4.85,-6.87,8.03,0.70,-3.21,-0.02
2009,1,16,11,-5.43,-6.89,7.53,0.26,-3.74,0.19
2009,1,16,12,-5.69,-6.73,6.70,-0.25,-4.01,-0.15
2009,1,16,13,-5.99,-6.85,6.55,-0.76,-4.23,-0.31
2009,1,16,14,-6.39,-6.91,6.34,-0.97,-4.44,-0.98
2009,1,16,15,-6.43,-6.72,6.48,-1.12,-4.74,-1.85
2009,1,16,16,-6.29,-6.98,6.25,-1.41,-4.81,-2.22
2009,1,16,17,-6.29,-7.53,6.10,-2.01,-5.00,-2.35
2009,1,16,18,-6.47,-8.27,5.94,-2.29,-5.11,-2.92
2009,1,16,19,-6.84,-8.78,6.01,-2.55,-5.45,-3.29
2009,1,16,20,-7.36,-9.26,5.82,-3.20,-5.59,-3.31
2009,1,16,21,-7.65,-10.14,5.10,-3.27,-5.48,-3.61
2009,1,16,22,-7.77,-10.61,4.21,-3.82,-5.46,-3.98
2009,1,16,23,-7.94,-10.80,4.51,-3.53,-5.42,-4.28
2009,1,17,0,-7.80,-10.96,4.51,-3.53,-5.19,-4.49
2009,1,17,1,-8.13,-11.65,4.48,-3.70,-5.15,-4.39
2009,1,17,2,-8.78,-12.03,4.16,-4.27,-5.04,-4.26
2009,1,17,3,-9.37,-11.83,4.14,-3.59,-4.60,-4.10
2009,1,17,4,-9.36,-11.27,3.58,-3.59,-4.67,-4.31
2009,1,17,5,-9.33,-11.72,3.05,-2.78,-4.71,-4.60
2009,1,17,6,-9.47,-12.64,2.58,-2.69,-4.67,-5.02
2009,1,17,7,-9.25,-13.11,3.01,-3.46,-4.37,-5.57
2009,1,17,8,-9.24,-13.18,2.48,-3.84,-4.44,-6.12
2009,1,17,9,-9.37,-13.25,2.34,-3.84,-4.46,-6.45
