# year,month,day,hour,Kod,Pgr,Sas,Rkn,Pyk,Han
2009,1,10,0,14.00,-999.00,-5.00,4.00,3.00,-7.00
2009,1,10,1,27.00,-999.00,13.00,7.00,-7.00,-7.00
2009,1,10,2,6.00,-999.00,41.00,17.00,6.00,-18.00
2009,1,10,3,6.00,-999.00,39.00,-26.00,-1.00,-6.00
2009,1,10,4,17.00,-999.00,32.00,-44.00,-1.00,-0.00
2009,1,10,5,31.00,-999.00,-4.00,-6.00,11.00,5.00
2009,1,10,6,43.00,-999.00,-21.00,-18.00,12.00,10.00
2009,1,10,7,32.00,-999.00,1.00,-9.00,-2.00,13.00
2009,1,10,8,22.00,-999.00,15.00,-11.00,2.00,5.00
2009,1,10,9,-17.00,-999.00,-12.00,-13.00,-3.00,2.00
2009,1,10,10,-27.00,-999.00,-22.00,-39.00,-10.00,2.00
2009,1,10,11,-6.00,-999.00,-3.00,-22.00,-11.00,-3.00
2009,1,10,12,27.00,-999.00,0.00,17.00,-9.00,-11.00
2009,1,10,13,33.00,-999.00,9.00,44.00,-6.00,-5.00
2009,1,10,14,23.00,-999.00,13.00,63.00,-1.00,5.00
2009,1,10,15,37.00,-999.00,16.00,39.00,-9.00,-0.00
2009,1,10,16,39.00,-999.00,46.00,-5.00,-8.00,2.00
2009,1,10,17,28.00,-999.00,-999.00,-9.00,-16.00,14.00
2009,1,10,18,11.00,-999.00,-999.00,-31.00,-11.00,-3.00
2009,1,10,19,-8.00,-999.00,-999.00,-9.00,-3.00,-12.00
2009,1,10,20,-22.00,-999.00,-999.00,23.00,-2.00,-17.00
2009,1,10,21,-31.00,-34.00,-999.00,-999.00,7.00,-10.00
2009,1,10,22,-9.00,-57.00,-999.00,20.00,-12.00,-8.00
2009,1,10,23,12.00,-1.00,-999.00,36.00,-24.00,-1.00
2009,1,11,0,8.00,-2.00,-9.00,22.00,-31.00,3.00
2009,1,11,1,17.00,2.00,-7.00,-6.00,-32.00,9.00
2009,1,11,2,0.00,19.00,-16.00,-3.00,2.00,12.00
2009,1,11,3,6.00,17.00,2.00,5.00,-1.00,0.00
2009,1,11,4,7.00,11.00,-5.00,-34.00,-8.00,6.00
2009,1,11,5,16.00,-0.00,4.00,-9.00,-7.00,-7.00
2009,1,11,6,8.00,-18.00,-1.00,-24.00,-3.00,-17.00
2009,1,11,7,-3.00,-27.00,-13.00,-43.00,-0.00,-27.00
2009,1,11,8,-8.00,-25.00,-27.00,-41.00,-1.00,-18.00
2009,1,11,9,-10.00,-29.00,-32.00,-25.00,-12.00,-4.00
2009,1,11,10,-12.00,-13.00,-12.00,-8.00,-23.00,-4.00
2009,1,11,11,-12.00,1.00,-6.00,-1.00,-15.00,0.00
2009,1,11,12,-5.00,-1.00,31.00,7.00,-20.00,8.00
2009,1,11,13,9.00,7.00,51.00,17.00,-12.00,9.00
2009,1,11,14,7.00,7.00,40.00,15.00,1.00,5.00
2009,1,11,15,22.00,-0.00,8.00,8.00,5.00,4.00
2009,1,11,16,3.00,-5.00,-29.00,-15.00,3.00,7.00
2009,1,11,17,21.00,-28.00,-48.00,-22.00,-3.00,13.00
2009,1,11,18,27.00,-24.00,-58.00,-27.00,-11.00,17.00
2009,1,11,19,2.00,-3.00,-48.00,-33.00,-11.00,-4.00
2009,1,11,20,16.00,-0.00,-36.00,7.00,-18.00,-10.00
2009,1,11,21,-16.00,-9.00,-39.00,20.00,-17.00,-10.00
2009,1,11,22,-4.00,16.00,-18.00,-4.00,-19.00,-11.00
2009,1,11,23,9.00,5.00,-18.00,3.00,-12.00,5.00
2009,1,12,0,22.00,-2.00,-11.00,16.00,-7.00,9.00
2009,1,12,1,24.00,-1.00,-15.00,3.00,-5.00,15.00
2009,1,12,2,-5.00,-10.00,-30.00,-7.00,-4.00,12.00
2009,1,12,3,19.00,6.00,-999.00,-11.00,1.00,18.00
2009,1,12,4,-16.00,-11.00,-999.00,-24.00,-8.00,24.00
2009,1,12,5,-26.00,-6.00,-999.00,-30.00,-13.00,21.00
2009,1,12,6,-26.00,6.00,-999.00,-40.00,2.00,11.00
2009,1,12,7,-18.00,-0.00,-999.00,-35.00,15.00,2.00
2009,1,12,8,-10.00,4.00,-999.00,-37.00,34.00,-3.00
2009,1,12,9,-3.00,17.00,-999.00,-9.00,20.00,6.00
2009,1,12,10,2.00,12.00,-999.00,-4.00,8.00,3.00
2009,1,12,11,1.00,14.00,-999.00,5.00,-14.00,6.00
2009,1,12,12,-0.00,19.00,7.00,17.00,-23.00,7.00
2009,1,12,13,-1.00,22.00,24.00,5.00,-15.00,5.00
2009,1,12,14,4.00,14.00,15.00,-16.00,-7.00,8.00
2009,1,12,15,7.00,16.00,7.00,-35.00,9.00,15.00
2009,1,12,16,1.00,7.00,-1.00,-26.00,11.00,13.00
2009,1,12,17,46.00,2.00,10.00,-7.00,3.00,5.00
2009,1,12,18,24.00,1.00,4.00,21.00,5.00,14.00
2009,1,12,19,18.00,5.00,-12.00,6.00,5.00,14.00
2009,1,12,20,-11.00,-1.00,7.00,18.00,3.00,13.00
2009,1,12,21,-32.00,-29.00,-15.00,7.00,-3.00,2.00
2009,1,12,22,-19.00,-2.00,-33.00,5.00,-6.00,-9.00
2009,1,12,23,-1.00,-15.00,-6.00,-999.00,-3.00,1.00
2009,1,13,0,6.00,6.00,-6.00,26.00,-15.00,1.00
2009,1,13,1,0.00,-17.00,-5.00,-48.00,-13.00,10.00
2009,1,13,2,-3.00,-21.00,9.00,3.00,-11.00,12.00
2009,1,13,3,10.00,12.00,19.00,10.00,-2.00,16.00
2009,1,13,4,7.00,28.00,15.00,-14.00,14.00,29.00
2009,1,13,5,12.00,31.00,5.00,50.00,14.00,28.00
2009,1,13,6,24.00,27.00,2.00,-33.00,10.00,24.00
2009,1,13,7,21.00,4.00,-1.00,-39.00,19.00,8.00
2009,1,13,8,1.00,2.00,-23.00,-36.00,18.00,1.00
2009,1,13,9,-17.00,-13.00,-23.00,-14.00,8.00,3.00
2009,1,13,10,-2.00,-3.00,-16.00,18.00,-8.00,-0.00
2009,1,13,11,-28.00,32.00,-7.00,23.00,-13.00,-10.00
2009,1,13,12,-13.00,27.00,5.00,27.00,-22.00,-7.00
2009,1,13,13,-4.00,6.00,24.00,34.00,-5.00,5.00
2009,1,13,14,-2.00,33.00,31.00,42.00,19.00,2.00
