# year,month,day,hour,Kod,Pgr,Sas,Rkn,Pyk,Han
2009,1,12,0,4.03,0.95,-4.12,-3.92,-3.38,2.57
2009,1,12,1,3.97,0.98,-4.14,-4.16,-3.52,2.61
2009,1,12,2,3.82,1.06,-4.20,-4.15,-3.58,2.73
2009,1,12,3,3.95,1.00,-4.26,-4.43,-3.86,3.04
2009,1,12,4,3.97,1.02,-4.53,-4.14,-4.11,3.29
2009,1,12,5,3.75,0.94,-5.06,-3.72,-4.09,3.57
2009,1,12,6,3.43,1.10,-5.26,-3.75,-4.01,3.76
2009,1,12,7,2.99,1.10,-5.55,-3.77,-3.91,3.68
2009,1,12,8,2.73,1.03,-6.12,-4.15,-3.47,3.46
2009,1,12,9,2.55,1.06,-6.34,-4.35,-3.10,3.36
2009,1,12,10,2.75,0.88,-6.36,-4.33,-3.06,3.30
2009,1,12,11,2.95,0.48,-6.44,-3.87,-3.15,3.25
2009,1,12,12,3.03,-0.12,-6.44,-3.35,-3.22,3.22
2009,1,12,13,2.78,-0.24,-6.01,-3.13,-3.23,3.30
2009,1,12,14,2.43,-0.40,-5.78,-3.53,-3.14,3.46
2009,1,12,15,2.28,-0.49,-5.86,-4.26,-3.20,3.45
2009,1,12,16,2.00,-0.71,-6.11,-4.99,-3.09,3.57
2009,1,12,17,1.83,-0.77,-6.91,-5.08,-3.08,3.56
2009,1,12,18,1.89,-0.70,-7.39,-5.12,-2.89,3.51
2009,1,12,19,2.02,-0.76,-7.50,-4.99,-2.84,3.62
2009,1,12,20,2.34,-0.82,-7.75,-4.96,-2.81,3.74
2009,1,12,21,2.94,-0.81,-8.52,-5.14,-2.71,3.93
2009,1,12,22,3.63,-0.55,-9.05,-5.11,-2.81,3.91
2009,1,12,23,3.86,-0.03,-8.77,-4.98,-2.69,3.82
2009,1,13,0,3.79,0.02,-8.72,-6.24,-2.45,3.71
2009,1,13,1,3.54,0.01,-8.47,-7.14,-1.89,3.51
2009,1,13,2,3.28,-0.06,-8.31,-7.42,-1.32,3.40
2009,1,13,3,2.99,-0.34,-8.06,-8.20,-1.03,3.35
2009,1,13,4,2.91,-0.53,-8.09,-8.77,-0.90,3.60
2009,1,13,5,3.03,-0.46,-8.07,-8.33,-0.62,3.92
2009,1,13,6,3.11,-0.19,-8.36,-8.33,-0.32,4.24
2009,1,13,7,3.41,0.08,-8.46,-8.47,0.10,4.55
2009,1,13,8,3.51,0.27,-8.89,-8.36,0.38,4.92
2009,1,13,9,3.60,0.24,-8.84,-8.06,0.56,4.98
2009,1,13,10,3.68,0.42,-9.05,-7.82,0.59,4.89
2009,1,13,11,3.67,0.43,-9.10,-7.75,0.61,4.78
2009,1,13,12,3.69,0.28,-9.02,-7.62,0.62,4.66
2009,1,13,13,3.82,0.29,-9.27,-7.50,0.76,4.50
2009,1,13,14,3.92,0.32,-9.77,-7.41,0.90,4.44
2009,1,13,15,3.86,0.60,-10.13,-7.37,0.94,4.32
2009,1,13,16,3.74,0.99,-10.12,-7.43,0.98,4.23
2009,1,13,17,4.02,1.36,-9.80,-7.58,1.01,4.27
2009,1,13,18,4.10,1.81,-9.39,-7.59,1.15,4.24
2009,1,13,19,3.88,1.93,-9.20,-7.35,1.42,4.19
2009,1,13,20,3.79,1.68,-9.14,-7.15,1.55,4.29
2009,1,13,21,3.42,1.34,-9.44,-7.15,1.75,4.36
2009,1,13,22,3.38,1.26,-9.40,-7.64,1.39,4.40
2009,1,13,23,3.27,1.17,-9.31,-7.25,1.49,4.33
2009,1,14,0,2.94,1.13,-9.28,-6.90,0.94,4.10
2009,1,14,1,2.71,1.31,-9.25,-6.80,0.53,3.90
2009,1,14,2,2.54,1.23,-9.09,-7.00,0.52,3.94
2009,1,14,3,2.69,1.82,-8.66,-6.64,0.49,4.31
2009,1,14,4,2.65,2.15,-8.37,-6.47,0.56,4.46
2009,1,14,5,2.99,2.43,-8.27,-6.23,0.71,4.47
2009,1,14,6,3.47,2.47,-8.43,-6.51,0.86,4.57
2009,1,14,7,3.87,2.27,-8.59,-6.58,0.91,4.55
2009,1,14,8,3.84,2.04,-8.67,-6.59,0.86,4.41
2009,1,14,9,3.78,1.87,-8.52,-6.32,0.66,4.28
2009,1,14,10,3.58,1.72,-8.27,-6.14,0.40,4.16
2009,1,14,11,3.50,1.76,-8.02,-5.98,0.17,4.10
2009,1,14,12,3.52,1.98,-7.82,-5.82,0.20,4.05
2009,1,14,13,3.66,2.08,-7.74,-5.72,0.33,3.96
2009,1,14,14,3.79,2.01,-7.95,-5.75,0.47,3.92
2009,1,14,15,3.89,2.11,-8.17,-5.67,0.53,3.89
2009,1,14,16,4.00,2.11,-8.44,-5.63,0.53,3.71
2009,1,14,17,4.22,2.20,-8.71,-5.65,0.35,3.57
2009,1,14,18,3.99,2.18,-9.20,-5.88,0.28,3.60
2009,1,14,19,3.78,2.05,-9.65,-6.41,0.28,3.58
2009,1,14,20,3.55,1.90,-9.89,-6.22,0.28,3.43
2009,1,14,21,3.71,1.87,-10.20,-6.51,0.30,3.33
2009,1,14,22,4.03,2.17,-10.15,-6.65,0.32,3.25
2009,1,14,23,4.22,2.38,-9.78,-6.35,0.27,3.27
2009,1,15,0,4.38,2.71,-9.77,-6.34,0.19,3.18
2009,1,15,1,4.46,2.84,-9.54,-6.36,0.25,3.14
2009,1,15,2,4.41,3.16,-9.30,-5.70,0.43,2.96
2009,1,15,3,4.42,3.65,-9.32,-5.66,0.53,2.76
2009,1,15,4,4.46,3.74,-9.54,-5.89,0.60,2.64
2009,1,15,5,4.46,3.45,-9.83,-6.10,0.50,2.49
2009,1,15,6,4.30,3.12,-10.18,-7.01,0.39,2.42
2009,1,15,7,4.03,2.82,-10.55,-7.00,0.35,2.27
2009,1,15,8,3.89,2.76,-10.90,-6.86,0.24,2.13
2009,1,15,9,3.91,2.63,-10.82,-6.66,0.07,2.06
2009,1,15,10,4.07,2.68,-10.73,-6.63,0.00,1.98
2009,1,15,11,4.18,2.70,-10.60,-6.76,0.16,1.86
2009,1,15,12,4.68,2.44,-10.55,-6.88,0.25,1.91
2009,1,15,13,4.92,2.18,-10.55,-7.10,0.52,1.97
2009,1,15,14,4.89,2.09,-10.72,-7.47,0.51,1.91
2009,1,15,15,4.97,1.46,-10.93,-7.90,0.16,1.92
2009,1,15,16,5.00,0.78,-11.34,-8.21,-0.07,1.82
2009,1,15,17,4.96,0.20,-11.76,-8.31,-0.21,1.81
2009,1,15,18,4.92,-0.29,-12.03,-8.46,-0.09,1.82
