# year,month,day,hour,Kod,Pgr,Sas,Rkn,Pyk,Han
2009,1,10,0,11.96,49.63,17.93,-40.34,28.02,-5.95
2009,1,10,1,23.09,36.78,0.53,-41.67,12.09,-10.19
2009,1,10,2,32.33,10.57,-6.58,-25.73,5.85,-19.60
2009,1,10,3,12.08,-0.12,-4.95,-21.52,18.90,-25.86
2009,1,10,4,-4.58,14.30,2.23,-26.33,27.68,-22.30
2009,1,10,5,1.60,31.17,19.29,-36.00,40.26,-19.93
2009,1,10,6,27.60,34.02,17.90,-38.89,40.05,-21.44
2009,1,10,7,38.30,27.23,-1.46,-52.66,21.01,-13.99
2009,1,10,8,21.06,22.72,-22.89,-49.17,-6.85,-7.35
2009,1,10,9,11.01,6.47,-21.22,-34.48,5.43,-0.11
2009,1,10,10,17.96,2.94,-3.65,-30.75,15.28,-9.54
2009,1,10,11,22.41,23.91,6.27,-30.97,9.25,6.32
2009,1,10,12,18.03,36.70,10.98,-33.17,18.04,14.71
2009,1,10,13,16.29,26.97,12.54,-34.67,5.13,18.18
2009,1,10,14,5.42,29.20,-5.87,-37.25,-3.46,21.56
2009,1,10,15,3.98,6.97,-2.73,-37.64,2.32,-18.17
2009,1,10,16,1.34,6.13,-8.84,-22.85,-2.19,-9.81
2009,1,10,17,-11.11,22.49,-11.14,-24.51,3.91,-1.63
2009,1,10,18,-5.36,20.26,-9.78,-19.75,28.49,-9.04
2009,1,10,19,21.95,13.12,-6.97,-2.91,23.71,13.89
2009,1,10,20,25.98,25.60,0.77,5.42,5.90,27.51
2009,1,10,21,8.22,38.23,6.17,8.95,-1.95,14.53
2009,1,10,22,21.59,29.00,3.27,2.04,-0.85,11.38
2009,1,10,23,33.08,30.60,-6.97,-0.01,-1.48,10.92
2009,1,11,0,19.19,19.72,-4.27,-8.16,10.19,9.00
2009,1,11,1,16.45,-9.35,-8.79,-2.39,12.11,11.08
2009,1,11,2,17.50,-16.78,-22.05,-0.42,9.49,16.48
2009,1,11,3,-0.82,-12.99,-17.96,6.06,1.49,1.69
2009,1,11,4,-4.91,-2.73,-8.90,28.23,-0.84,11.56
2009,1,11,5,8.95,7.84,-2.74,21.98,-2.08,16.68
2009,1,11,6,9.24,13.71,-13.57,-1.94,13.70,18.52
2009,1,11,7,12.36,-4.72,-31.11,-23.58,16.86,18.96
2009,1,11,8,7.07,-5.53,-38.23,-18.64,7.69,23.50
2009,1,11,9,-8.00,0.13,-34.58,-6.57,19.68,15.66
2009,1,11,10,-6.57,9.50,-17.87,9.10,23.24,7.16
2009,1,11,11,16.45,26.42,0.95,14.94,17.30,17.57
2009,1,11,12,27.95,39.79,6.62,15.00,16.79,40.85
2009,1,11,13,25.27,24.11,1.18,8.93,10.81,44.87
2009,1,11,14,17.31,14.46,-10.99,-0.06,9.59,37.92
2009,1,11,15,5.34,10.42,-4.54,-7.30,13.95,21.52
2009,1,11,16,3.48,0.20,2.92,3.76,13.06,19.16
2009,1,11,17,9.59,1.76,-0.25,6.06,13.62,26.18
2009,1,11,18,6.24,7.39,-11.79,-13.43,16.72,23.20
2009,1,11,19,25.02,-12.35,-17.11,-19.50,9.81,11.66
2009,1,11,20,36.11,-18.56,-12.51,-5.60,8.48,3.14
2009,1,11,21,16.50,0.85,7.49,1.44,13.26,13.29
2009,1,11,22,8.33,15.35,20.65,11.11,-2.39,17.35
2009,1,11,23,25.44,25.52,23.89,8.70,2.63,11.80
2009,1,12,0,45.39,28.77,13.87,6.41,14.39,20.83
