# year,month,day,hour,Kod,Pgr,Sas,Rkn,Pyk,Han
2009,1,10,0,27.54,-9.25,-42.43,14.56,8.56,-51.36
2009,1,10,1,18.78,-22.15,-54.37,24.59,-6.43,-67.18
2009,1,10,2,3.65,-28.72,-47.28,25.42,-12.99,-46.87
2009,1,10,3,-15.19,-31.23,-37.46,36.71,-9.13,-34.93
2009,1,10,4,-7.01,-10.71,-21.00,18.16,-1.23,-37.62
2009,1,10,5,33.55,-5.94,-25.40,-0.03,14.15,-41.57
2009,1,10,6,49.61,-6.38,-51.68,12.18,7.59,-39.83
2009,1,10,7,35.55,-19.45,-50.38,12.66,-0.66,-21.94
2009,1,10,8,20.05,-37.12,-41.51,30.36,16.87,-11.21
2009,1,10,9,15.53,-45.77,-38.16,38.01,14.68,-9.48
2009,1,10,10,20.79,-18.55,-12.84,20.53,6.29,-8.95
2009,1,10,11,21.13,-4.46,-12.78,14.96,17.45,-12.74
2009,1,10,12,16.29,-17.29,-22.87,9.77,11.89,-14.90
2009,1,10,13,4.15,-25.83,-33.97,-1.62,4.93,-18.42
2009,1,10,14,13.85,-42.92,-38.92,7.97,2.40,-25.78
2009,1,10,15,15.49,-29.57,-38.57,15.28,-4.02,-31.42
2009,1,10,16,5.46,-42.24,-25.88,21.87,4.04,-25.46
2009,1,10,17,20.29,-41.99,-15.41,9.93,14.21,-14.36
2009,1,10,18,33.04,-30.49,-5.34,19.51,10.07,2.33
2009,1,10,19,26.64,-39.78,-8.09,10.99,-7.82,-5.10
2009,1,10,20,17.97,-47.42,-2.85,-5.46,-6.91,-13.48
2009,1,10,21,22.60,-36.24,-8.40,-6.35,-5.72,-21.08
2009,1,10,22,22.59,-14.30,-13.17,4.57,-10.49,-23.67
2009,1,10,23,20.81,-8.32,-10.24,0.55,0.13,-11.84
2009,1,11,0,19.88,-2.56,-17.69,1.63,6.37,-12.23
2009,1,11,1,9.76,0.68,-30.56,-3.77,-2.51,-23.55
2009,1,11,2,-10.49,1.10,-17.81,-7.98,-13.44,-25.43
2009,1,11,3,-3.94,-7.17,-12.60,7.02,-12.72,-7.67
2009,1,11,4,6.16,-13.29,-16.59,-10.75,-4.35,-4.94
2009,1,11,5,16.20,-3.83,-25.29,-23.78,-4.32,-10.76
2009,1,11,6,7.17,-15.13,-37.92,-18.96,0.21,-9.69
2009,1,11,7,-17.32,-29.52,-30.46,-3.74,-3.89,-6.33
2009,1,11,8,-18.81,-30.27,-10.81,6.12,-0.24,-3.23
2009,1,11,9,-6.97,-20.29,-5.45,7.22,6.47,2.12
2009,1,11,10,8.84,-6.33,-10.07,4.74,7.47,17.39
2009,1,11,11,13.30,-3.95,-26.53,-10.45,17.37,12.71
2009,1,11,12,4.79,-5.43,-43.63,-18.86,18.86,7.48
2009,1,11,13,-4.90,-19.23,-47.09,-23.12,22.08,3.13
2009,1,11,14,-9.02,-17.66,-43.56,-25.70,28.87,-4.35
2009,1,11,15,1.93,-7.55,-45.30,-18.57,29.02,-17.54
2009,1,11,16,-1.99,-14.97,-65.56,-10.98,28.09,-21.26
2009,1,11,17,-1.11,-12.62,-59.60,-28.75,29.43,-21.10
2009,1,11,18,3.05,-19.91,-49.53,-20.27,43.39,-24.22
2009,1,11,19,-3.46,-23.86,-39.22,1.69,54.56,-40.77
2009,1,11,20,-7.31,-11.47,-25.12,9.36,40.70,-40.18
2009,1,11,21,-6.00,-8.99,-35.05,11.30,21.70,-40.20
2009,1,11,22,2.05,-11.90,-41.00,-5.79,14.07,-52.33
2009,1,11,23,13.55,-12.96,-42.78,-16.01,20.58,-46.73
2009,1,12,0,9.77,-20.46,-40.19,-17.91,39.80,-42.84
2009,1,12,1,-7.97,-32.90,-41.44,-28.57,39.63,-60.18
2009,1,12,2,-26.01,-41.94,-52.87,-22.11,34.86,-59.35
2009,1,12,3,-20.84,-36.08,-59.28,-17.02,19.59,-49.17
2009,1,12,4,-3.45,-36.73,-58.69,-8.33,27.99,-61.51
2009,1,12,5,-16.59,-37.98,-55.77,-14.11,33.29,-59.47
2009,1,12,6,-16.16,-48.63,-58.08,-18.46,32.07,-37.08
2009,1,12,7,-6.25,-54.29,-50.90,9.34,33.64,-41.48
