# year,month,day,hour,Kod,Pgr,Sas,Rkn,Pyk,Han
2009,1,12,0,7.05,-27.06,-43.17,-0.05,9.20,-18.65
2009,1,12,1,6.94,-27.18,-43.31,-0.46,9.09,-18.03
2009,1,12,2,6.96,-27.24,-43.37,-0.70,9.14,-17.44
2009,1,12,3,7.16,-27.36,-43.47,-0.71,9.24,-17.04
2009,1,12,4,7.44,-27.48,-43.68,-0.84,9.46,-16.68
2009,1,12,5,7.55,-27.51,-44.05,-0.97,9.69,-16.45
2009,1,12,6,7.22,-27.53,-44.48,-1.17,9.65,-16.17
2009,1,12,7,6.69,-27.52,-44.69,-1.50,9.65,-15.94
2009,1,12,8,6.38,-27.53,-44.85,-1.68,9.71,-15.87
2009,1,12,9,6.29,-27.51,-44.98,-1.84,9.45,-15.69
2009,1,12,10,6.16,-27.55,-45.26,-2.14,9.40,-15.52
2009,1,12,11,5.99,-27.62,-45.96,-2.66,9.64,-15.46
2009,1,12,12,5.90,-27.63,-46.53,-3.25,9.69,-15.32
2009,1,12,13,5.89,-27.57,-47.05,-3.59,9.77,-15.25
2009,1,12,14,5.87,-27.64,-47.58,-3.67,9.82,-15.27
2009,1,12,15,5.88,-27.82,-48.00,-3.67,9.83,-15.16
2009,1,12,16,6.04,-27.87,-48.34,-3.74,10.10,-14.78
2009,1,12,17,6.26,-27.83,-48.72,-4.02,10.25,-14.43
2009,1,12,18,6.23,-27.73,-48.93,-4.15,10.30,-14.23
2009,1,12,19,5.80,-27.75,-49.37,-4.30,10.55,-14.23
2009,1,12,20,5.44,-27.80,-49.68,-4.41,10.82,-14.18
2009,1,12,21,5.33,-27.69,-49.78,-4.25,10.91,-14.21
2009,1,12,22,5.25,-27.40,-49.86,-4.16,11.19,-13.91
2009,1,12,23,5.38,-27.44,-49.98,-4.16,11.44,-13.61
2009,1,13,0,5.55,-27.55,-50.01,-4.18,11.71,-13.64
2009,1,13,1,5.58,-27.66,-50.35,-4.23,11.95,-13.63
2009,1,13,2,5.76,-27.91,-50.60,-4.30,12.17,-13.68
2009,1,13,3,6.16,-28.18,-51.06,-4.31,12.48,-13.66
2009,1,13,4,6.66,-28.31,-51.61,-4.48,12.83,-13.56
2009,1,13,5,6.89,-28.49,-52.22,-4.45,13.10,-13.42
2009,1,13,6,6.88,-28.78,-52.80,-4.25,13.51,-13.44
2009,1,13,7,6.80,-29.03,-53.35,-4.29,14.00,-13.58
2009,1,13,8,7.12,-29.16,-53.96,-4.58,14.53,-13.74
2009,1,13,9,7.66,-29.19,-54.60,-5.05,14.80,-13.73
2009,1,13,10,8.24,-29.29,-55.25,-5.53,14.91,-13.84
2009,1,13,11,8.61,-29.46,-55.81,-5.98,15.07,-14.26
2009,1,13,12,8.92,-29.67,-56.28,-6.21,15.22,-14.62
2009,1,13,13,9.22,-29.82,-56.64,-6.24,15.49,-14.74
2009,1,13,14,9.51,-29.79,-56.99,-6.31,15.79,-14.73
2009,1,13,15,9.79,-29.77,-57.44,-6.48,16.07,-14.73
2009,1,13,16,10.05,-29.93,-57.84,-6.83,16.18,-14.72
2009,1,13,17,10.48,-30.14,-57.80,-7.37,16.24,-14.73
2009,1,13,18,10.97,-30.42,-57.85,-7.39,16.32,-14.77
2009,1,13,19,11.22,-30.81,-58.00,-7.23,16.28,-14.57
2009,1,13,20,11.32,-31.07,-58.17,-7.25,16.08,-14.19
2009,1,13,21,11.57,-31.28,-58.54,-7.27,16.07,-13.82
2009,1,13,22,12.00,-31.36,-58.97,-7.62,16.35,-13.49
